2011,8,1,0,-1.68286
2011,8,1,1,-3.02446
2011,8,1,2,0.779817
2011,8,1,3,0.587134
2011,8,1,4,0.388317
2011,8,1,5,-0.0620352
2011,8,1,6,-4.42603
2011,8,1,7,-3.30204
2011,8,1,8,1.66206
2011,8,1,9,0.197484
2011,8,1,10,0.913719
2011,8,1,11,0.718854
2011,8,1,12,0.72125
2011,8,1,13,0.790112
2011,8,1,14,0.391737
2011,8,1,15,0.367116
2011,8,1,16,-0.177433
2011,8,1,17,0.725825
2011,8,1,18,0.220371
2011,8,1,19,0.0110942
2011,8,1,20,0.00126673
2011,8,1,21,-0.0682393
2011,8,1,22,-0.183721
2011,8,1,23,-0.161277
2011,8,2,0,-0.189865
2011,8,2,1,-0.721294
2011,8,2,2,0.170584
2011,8,2,3,-0.000398727
2011,8,2,4,-0.00638531
2011,8,2,5,0.154376
2011,8,2,6,-0.422809
2011,8,2,7,-0.00807736
2011,8,2,8,0.247716
2011,8,2,9,0.142839
2011,8,2,10,0.411021
2011,8,2,11,0.171505
2011,8,2,12,0.126277
2011,8,2,13,NaN
2011,8,2,14,NaN
2011,8,2,15,NaN
2011,8,2,16,NaN
2011,8,2,17,NaN
2011,8,2,18,NaN
2011,8,2,19,NaN
2011,8,2,20,NaN
2011,8,2,21,NaN
2011,8,2,22,NaN
2011,8,2,23,NaN
2011,8,3,0,NaN
2011,8,3,1,-0.423792
2011,8,3,2,-0.140045
2011,8,3,3,-0.236426
2011,8,3,4,0.168329
2011,8,3,5,0.474753
2011,8,3,6,0.0368158
2011,8,3,7,-5.48389
2011,8,3,8,-4.53875
2011,8,3,9,-1.44329
2011,8,3,10,-1.16304
2011,8,3,11,-1.66224
2011,8,3,12,-5.88593
2011,8,3,13,-9.07896
2011,8,3,14,NaN
2011,8,3,15,NaN
2011,8,3,16,NaN
2011,8,3,17,NaN
2011,8,3,18,NaN
2011,8,3,19,NaN
2011,8,3,20,-2.27862
2011,8,3,21,-0.783512
2011,8,3,22,-0.53996
2011,8,3,23,-0.706044
2011,8,4,0,-0.029319
2011,8,4,1,-3.90832
2011,8,4,2,-0.847648
2011,8,4,3,0.12742
2011,8,4,4,-0.490495
2011,8,4,5,0.363353
2011,8,4,6,-0.250115
2011,8,4,7,-3.34143
2011,8,4,8,0.596673
2011,8,4,9,1.19808
2011,8,4,10,0.184844
2011,8,4,11,0.165957
2011,8,4,12,0.0079706
2011,8,4,13,0.247862
2011,8,4,14,0.121558
2011,8,4,15,0.005767
2011,8,4,16,0.0141371
2011,8,4,17,0.006768
2011,8,4,18,0.000334027
2011,8,4,19,0.0115145
2011,8,4,20,-0.000693374
2011,8,4,21,-0.0966022
2011,8,4,22,0.621941
2011,8,4,23,-1.53007
2011,8,5,0,-0.183821
2011,8,5,1,-0.36752
2011,8,5,2,0.102853
2011,8,5,3,0.129088
2011,8,5,4,0.882457
2011,8,5,5,1.4481
2011,8,5,6,1.11319
2011,8,5,7,-0.731495
2011,8,5,8,-1.70664
2011,8,5,9,-0.120354
2011,8,5,10,1.04246
2011,8,5,11,NaN
2011,8,5,12,0.3703
2011,8,5,13,-0.115802
2011,8,5,14,-0.03742
2011,8,5,15,NaN
2011,8,5,16,NaN
2011,8,5,17,NaN
2011,8,5,18,NaN
2011,8,5,19,NaN
2011,8,5,20,NaN
2011,8,5,21,NaN
2011,8,5,22,NaN
2011,8,5,23,NaN
2011,8,6,0,NaN
2011,8,6,1,-1.01877
2011,8,6,2,0.539302
2011,8,6,3,0.405485
2011,8,6,4,1.20344
2011,8,6,5,1.17814
2011,8,6,6,0.102021
2011,8,6,7,-2.2735
2011,8,6,8,-1.43206
2011,8,6,9,1.25418
2011,8,6,10,1.24954
2011,8,6,11,1.24594
2011,8,6,12,1.6515
2011,8,6,13,1.05543
2011,8,6,14,0.340406
2011,8,6,15,1.21037
2011,8,6,16,0.776329
2011,8,6,17,0.94827
2011,8,6,18,0.185763
2011,8,6,19,0.581843
2011,8,6,20,-0.0730313
2011,8,6,21,-0.0673545
2011,8,6,22,0.473442
2011,8,6,23,3.36602
2011,8,7,0,6.67887
2011,8,7,1,-0.629628
2011,8,7,2,0.497972
2011,8,7,3,0.3506
2011,8,7,4,0.549915
2011,8,7,5,0.776187
2011,8,7,6,0.497378
2011,8,7,7,-0.758083
2011,8,7,8,1.59417
2011,8,7,9,1.44934
2011,8,7,10,1.22561
2011,8,7,11,-0.0501343
2011,8,7,12,0.0118043
2011,8,7,13,0.16936
2011,8,7,14,0.557783
2011,8,7,15,0.46824
2011,8,7,16,0.535818
2011,8,7,17,0.140318
2011,8,7,18,-0.203224
2011,8,7,19,-0.18683
2011,8,7,20,-0.296949
2011,8,7,21,0.00615265
2011,8,7,22,-0.0747523
2011,8,7,23,-0.0747298
2011,8,8,0,-0.0145055
2011,8,8,1,-0.0539971
2011,8,8,2,0.00814232
2011,8,8,3,0.00501033
2011,8,8,4,-0.00156635
2011,8,8,5,-0.00199134
2011,8,8,6,-0.0428385
2011,8,8,7,-0.0654693
2011,8,8,8,-0.0725158
2011,8,8,9,0.00328431
2011,8,8,10,0.0221728
2011,8,8,11,0.00049436
2011,8,8,12,0.0836637
2011,8,8,13,0.340446
2011,8,8,14,0.268037
2011,8,8,15,-0.0220379
2011,8,8,16,0.184154
2011,8,8,17,0.470974
2011,8,8,18,0.334575
2011,8,8,19,-0.162293
2011,8,8,20,-0.505886
2011,8,8,21,-0.533342
2011,8,8,22,-0.110223
2011,8,8,23,-0.69155
2011,8,9,0,-0.102653
2011,8,9,1,-1.40738
2011,8,9,2,0.445489
2011,8,9,3,0.240014
2011,8,9,4,-0.158282
2011,8,9,5,-0.287268
2011,8,9,6,-0.336842
2011,8,9,7,0.153547
2011,8,9,8,0.740863
2011,8,9,9,0.63365
2011,8,9,10,1.33023
2011,8,9,11,0.530782
2011,8,9,12,0.745935
2011,8,9,13,0.507025
2011,8,9,14,0.340718
2011,8,9,15,0.108041
2011,8,9,16,0.275396
2011,8,9,17,4.25349
2011,8,9,18,2.95856
2011,8,9,19,0.127312
2011,8,9,20,0.123466
2011,8,9,21,0.0116842
2011,8,9,22,0.00333033
2011,8,9,23,0.00976372
2011,8,10,0,-0.0330805
2011,8,10,1,-0.149453
2011,8,10,2,0.0130018
2011,8,10,3,-0.0226925
2011,8,10,4,-0.137935
2011,8,10,5,-0.174118
2011,8,10,6,-0.119007
2011,8,10,7,0.312419
2011,8,10,8,0.701418
2011,8,10,9,0.389157
2011,8,10,10,-0.0598858
2011,8,10,11,NaN
2011,8,10,12,NaN
2011,8,10,13,NaN
2011,8,10,14,NaN
2011,8,10,15,NaN
2011,8,10,16,NaN
2011,8,10,17,NaN
2011,8,10,18,NaN
2011,8,10,19,NaN
2011,8,10,20,NaN
2011,8,10,21,NaN
2011,8,10,22,NaN
2011,8,10,23,NaN
2011,8,11,0,NaN
2011,8,11,1,-0.0211519
2011,8,11,2,0.00280374
2011,8,11,3,-0.0131434
2011,8,11,4,0.00143904
2011,8,11,5,0.00187158
2011,8,11,6,-0.0188086
2011,8,11,7,0.00768704
2011,8,11,8,0.0240785
2011,8,11,9,0.0203801
2011,8,11,10,0.00426075
2011,8,11,11,0.00196036
2011,8,11,12,0.00160942
2011,8,11,13,0.0336231
2011,8,11,14,0.0311122
2011,8,11,15,0.0183396
2011,8,11,16,-0.00466473
2011,8,11,17,0.03179
2011,8,11,18,0.011518
2011,8,11,19,0.0838194
2011,8,11,20,0.0545394
2011,8,11,21,-0.136431
2011,8,11,22,-0.0578852
2011,8,11,23,-0.055716
2011,8,12,0,-0.175587
2011,8,12,1,-2.0943
2011,8,12,2,0.165047
2011,8,12,3,0.773822
2011,8,12,4,0.649208
2011,8,12,5,0.525524
2011,8,12,6,-0.17562
2011,8,12,7,-2.28244
2011,8,12,8,1.23863
2011,8,12,9,0.852729
2011,8,12,10,0.340979
2011,8,12,11,0.0992903
2011,8,12,12,0.21962
2011,8,12,13,0.0596981
2011,8,12,14,0.286527
2011,8,12,15,0.470766
2011,8,12,16,0.5193
2011,8,12,17,0.29599
2011,8,12,18,0.40462
2011,8,12,19,0.518524
2011,8,12,20,2.32135
2011,8,12,21,8.87681
2011,8,12,22,NaN
2011,8,12,23,NaN
2011,8,13,0,NaN
2011,8,13,1,-1.63877
2011,8,13,2,1.3157
2011,8,13,3,1.42715
2011,8,13,4,0.922649
2011,8,13,5,0.0736159
2011,8,13,6,-0.437306
2011,8,13,7,-2.17313
2011,8,13,8,1.89644
2011,8,13,9,1.7625
2011,8,13,10,0.446554
2011,8,13,11,0.225303
2011,8,13,12,0.409339
2011,8,13,13,0.883422
2011,8,13,14,0.286893
2011,8,13,15,0.540483
2011,8,13,16,NaN
2011,8,13,17,NaN
2011,8,13,18,NaN
2011,8,13,19,NaN
2011,8,13,20,NaN
2011,8,13,21,NaN
2011,8,13,22,NaN
2011,8,13,23,NaN
2011,8,14,0,NaN
2011,8,14,1,-3.53347
2011,8,14,2,1.36139
2011,8,14,3,0.277427
2011,8,14,4,-0.170155
2011,8,14,5,-0.281845
2011,8,14,6,-0.63261
2011,8,14,7,-0.505708
2011,8,14,8,-0.000377917
2011,8,14,9,-0.0173928
2011,8,14,10,-0.00304977
2011,8,14,11,0.0920028
2011,8,14,12,0.191622
2011,8,14,13,-0.00284935
2011,8,14,14,-0.0425392
2011,8,14,15,-0.0138708
2011,8,14,16,0.0674592
2011,8,14,17,0.0641119
2011,8,14,18,0.113296
2011,8,14,19,-0.15524
2011,8,14,20,-0.0304362
